date,game,T1,Draw,T2
2025-05-24,Anguilla vs Saint Kitts and Nevis,0.041,0.16,0.8
2025-05-25,Saint Martin vs Saint Kitts and Nevis,0.405,0.291,0.304
2025-05-25,St Vincent & Grenadines vs Saint Kitts and Nevis,0.56,0.262,0.178
2025-05-27,Ghana vs Nigeria,0.245,0.297,0.457
2025-05-28,Jamaica vs Trinidad and Tobago,0.496,0.29,0.215
2025-05-28,Oman vs Lebanon,0.687,0.215,0.098
2025-05-29,Malaysia vs Cape Verde,0.208,0.273,0.519
2025-05-29,St Vincent & Grenadines vs British Virgin Islands,0.893,0.093,0.014
2025-05-30,Saudi Arabia vs Jordan,0.395,0.292,0.313
2025-05-31,El Salvador vs Guatemala,0.238,0.296,0.467
2025-05-31,Eritrea vs South Sudan,0.491,0.279,0.23
2025-05-31,Grenada vs Anguilla,0.859,0.118,0.023
2025-06-01,Nicaragua vs Puerto Rico,0.58,0.266,0.154
2025-06-02,Tunisia vs Burkina Faso,0.606,0.247,0.147
2025-06-03,Malaysia vs Cape Verde,0.208,0.273,0.519
2025-06-04,Germany vs Portugal,0.479,0.281,0.24
2025-06-04,Mauritius vs Zimbabwe,0.073,0.204,0.722
2025-06-04,South Africa vs Mozambique,0.63,0.239,0.131
2025-06-04,Bangladesh vs Bhutan,0.763,0.177,0.06
2025-06-04,Thailand vs India,0.711,0.204,0.085
2025-06-04,Barbados vs Aruba,0.53,0.27,0.2
2025-06-04,Belize vs Montserrat,0.501,0.288,0.21
2025-06-04,Bermuda vs Cayman Islands,0.775,0.171,0.055
2025-06-04,Dominica vs British Virgin Islands,0.806,0.152,0.042
2025-06-04,Grenada vs Bahamas,0.759,0.179,0.062
2025-06-04,St Vincent & Grenadines vs Anguilla,0.892,0.094,0.014
2025-06-05,Australia vs Japan,0.317,0.292,0.391
2025-06-05,Bahrain vs Saudi Arabia,0.405,0.291,0.304
2025-06-05,Indonesia vs China,0.408,0.291,0.301
2025-06-05,Iraq vs South Korea,0.246,0.283,0.471
2025-06-05,Kuwait vs Palestine,0.36,0.293,0.347
2025-06-05,North Korea vs Kyrgyzstan,0.55,0.265,0.185
2025-06-05,Oman vs Jordan,0.366,0.293,0.341
2025-06-05,Qatar vs Iran,0.144,0.246,0.61
2025-06-05,United Arab Emirates vs Uzbekistan,0.299,0.291,0.411
2025-06-05,France vs Spain,0.224,0.292,0.484
2025-06-05,Angola vs Namibia,0.553,0.274,0.172
2025-06-05,Lesotho vs Malawi,0.3,0.306,0.394
2025-06-05,Algeria vs Rwanda,0.826,0.14,0.034
2025-06-05,Belarus vs Kazakhstan,0.556,0.263,0.181
2025-06-05,Brunei vs Sri Lanka,0.272,0.302,0.426
2025-06-05,Cambodia vs Tajikistan,0.078,0.197,0.726
2025-06-05,DR Congo vs Mali,0.297,0.305,0.398
2025-06-05,Georgia vs Faroe Islands,0.857,0.119,0.024
2025-06-05,Hong Kong vs Nepal,0.688,0.214,0.097
2025-06-05,Singapore vs Maldives,0.677,0.219,0.103
2025-06-05,Chile vs Argentina,0.093,0.211,0.696
2025-06-05,Ecuador vs Brazil,0.381,0.293,0.326
2025-06-05,Paraguay vs Uruguay,0.335,0.293,0.372
2025-06-06,Czechia vs Montenegro,0.717,0.201,0.082
2025-06-06,Estonia vs Israel,0.249,0.283,0.468
2025-06-06,Gibraltar vs Croatia,0.007,0.067,0.926
2025-06-06,North Macedonia vs Belgium,0.224,0.277,0.498
2025-06-06,Norway vs Italy,0.378,0.293,0.33
2025-06-06,Wales vs Liechtenstein,0.96,0.038,0.002
2025-06-06,Comoros vs Zambia,0.355,0.307,0.337
2025-06-06,Madagascar vs Morocco,0.031,0.143,0.825
2025-06-06,Bulgaria vs Cyprus,0.657,0.228,0.115
2025-06-06,Burkina Faso vs Zimbabwe,0.467,0.296,0.238
2025-06-06,Cameroon vs Uganda,0.574,0.268,0.158
2025-06-06,Central African Republic vs Mauritania,0.263,0.301,0.436
2025-06-06,Gabon vs Guinea-Bissau,0.558,0.273,0.169
2025-06-06,Guinea vs Niger,0.496,0.29,0.215
2025-06-06,Hungary vs Sweden,0.455,0.285,0.26
2025-06-06,Ireland vs Senegal,0.334,0.293,0.373
2025-06-06,Kosovo vs Armenia,0.704,0.207,0.089
2025-06-06,Liberia vs Sudan,0.213,0.289,0.498
2025-06-06,Luxembourg vs Slovenia,0.176,0.261,0.563
2025-06-06,Morocco vs Tunisia,0.687,0.215,0.098
2025-06-06,Poland vs Moldova,0.825,0.14,0.035
2025-06-06,Russia vs Nigeria,0.718,0.2,0.081
2025-06-06,Scotland vs Iceland,0.704,0.207,0.089
2025-06-06,South Africa vs Tanzania,0.688,0.214,0.097
2025-06-06,Togo vs Zambia,0.308,0.306,0.386
2025-06-06,Colombia vs Peru,0.717,0.201,0.082
2025-06-06,Venezuela vs Bolivia,0.584,0.255,0.162
2025-06-06,Antigua and Barbuda vs Cuba,0.145,0.246,0.609
2025-06-06,Curaçao vs Saint Lucia,0.765,0.176,0.059
2025-06-06,Guatemala vs Dominican Republic,0.696,0.211,0.093
2025-06-06,Nicaragua vs Guyana,0.541,0.267,0.192
